tau,mag_triple,mag_bin_q4,mag_bin_q2
-1.9938398768e+00,1.0610750392e+00,1.0610578630e+00,1.0610589036e+00
-1.9937598752e+00,1.0610821651e+00,1.0610649888e+00,1.0610660296e+00
-1.9936798736e+00,1.0610892921e+00,1.0610721156e+00,1.0610731565e+00
-1.9935998720e+00,1.0610964201e+00,1.0610792433e+00,1.0610802844e+00
-1.9935198704e+00,1.0611035490e+00,1.0610863721e+00,1.0610874133e+00
-1.9934398688e+00,1.0611106790e+00,1.0610935019e+00,1.0610945432e+00
-1.9933598672e+00,1.0611178099e+00,1.0611006326e+00,1.0611016741e+00
-1.9932798656e+00,1.0611249419e+00,1.0611077644e+00,1.0611088060e+00
-1.9931998640e+00,1.0611320749e+00,1.0611148972e+00,1.0611159389e+00
-1.9931198624e+00,1.0611392088e+00,1.0611220309e+00,1.0611230729e+00
-1.9930398608e+00,1.0611463438e+00,1.0611291657e+00,1.0611302078e+00
-1.9929598592e+00,1.0611534797e+00,1.0611363015e+00,1.0611373437e+00
-1.9928798576e+00,1.0611606167e+00,1.0611434382e+00,1.0611444806e+00
-1.9927998560e+00,1.0611677547e+00,1.0611505760e+00,1.0611516185e+00
-1.9927198544e+00,1.0611748936e+00,1.0611577148e+00,1.0611587574e+00
-1.9926398528e+00,1.0611820336e+00,1.0611648545e+00,1.0611658973e+00
-1.9925598512e+00,1.0611891745e+00,1.0611719953e+00,1.0611730382e+00
-1.9924798496e+00,1.0611963165e+00,1.0611791371e+00,1.0611801802e+00
-1.9923998480e+00,1.0612034595e+00,1.0611862798e+00,1.0611873231e+00
-1.9923198464e+00,1.0612106034e+00,1.0611934236e+00,1.0611944670e+00
-1.9922398448e+00,1.0612177484e+00,1.0612005684e+00,1.0612016119e+00
-1.9921598432e+00,1.0612248944e+00,1.0612077142e+00,1.0612087578e+00
-1.9920798416e+00,1.0612320413e+00,1.0612148609e+00,1.0612159048e+00
-1.9919998400e+00,1.0612391893e+00,1.0612220087e+00,1.0612230527e+00
-1.9919198384e+00,1.0612463383e+00,1.0612291575e+00,1.0612302016e+00
-1.9918398368e+00,1.0612534882e+00,1.0612363073e+00,1.0612373515e+00
-1.9917598352e+00,1.0612606392e+00,1.0612434581e+00,1.0612445025e+00
-1.9916798336e+00,1.0612677912e+00,1.0612506099e+00,1.0612516544e+00
-1.9915998320e+00,1.0612749442e+00,1.0612577626e+00,1.0612588073e+00
-1.9915198304e+00,1.0612820982e+00,1.0612649164e+00,1.0612659613e+00
-1.9914398288e+00,1.0612892532e+00,1.0612720712e+00,1.0612731162e+00
-1.9913598272e+00,1.0612964092e+00,1.0612792270e+00,1.0612802722e+00
-1.9912798256e+00,1.0613035662e+00,1.0612863838e+00,1.0612874291e+00
-1.9911998240e+00,1.0613107242e+00,1.0612935417e+00,1.0612945871e+00
-1.9911198224e+00,1.0613178832e+00,1.0613007005e+00,1.0613017460e+00
-1.9910398208e+00,1.0613250432e+00,1.0613078603e+00,1.0613089060e+00
-1.9909598192e+00,1.0613322042e+00,1.0613150211e+00,1.0613160670e+00
-1.9908798176e+00,1.0613393662e+00,1.0613221829e+00,1.0613232289e+00
-1.9907998160e+00,1.0613465292e+00,1.0613293458e+00,1.0613303919e+00
-1.9907198144e+00,1.0613536933e+00,1.0613365096e+00,1.0613375559e+00
-1.9906398128e+00,1.0613608583e+00,1.0613436744e+00,1.0613447209e+00
-1.9905598112e+00,1.0613680243e+00,1.0613508403e+00,1.0613518869e+00
-1.9904798096e+00,1.0613751914e+00,1.0613580071e+00,1.0613590538e+00
-1.9903998080e+00,1.0613823594e+00,1.0613651750e+00,1.0613662218e+00
-1.9903198064e+00,1.0613895285e+00,1.0613723438e+00,1.0613733908e+00
-1.9902398048e+00,1.0613966985e+00,1.0613795137e+00,1.0613805609e+00
-1.9901598032e+00,1.0614038696e+00,1.0613866846e+00,1.0613877319e+00
-1.9900798016e+00,1.0614110417e+00,1.0613938564e+00,1.0613949039e+00
-1.9899998000e+00,1.0614182147e+00,1.0614010293e+00,1.0614020769e+00
-1.9899197984e+00,1.0614253888e+00,1.0614082032e+00,1.0614092510e+00
-1.9898397968e+00,1.0614325639e+00,1.0614153781e+00,1.0614164260e+00
-1.9897597952e+00,1.0614397400e+00,1.0614225540e+00,1.0614236021e+00
-1.9896797936e+00,1.0614469171e+00,1.0614297309e+00,1.0614307791e+00
-1.9895997920e+00,1.0614540952e+00,1.0614369088e+00,1.0614379572e+00
-1.9895197904e+00,1.0614612743e+00,1.0614440878e+00,1.0614451362e+00
-1.9894397888e+00,1.0614684544e+00,1.0614512677e+00,1.0614523163e+00
-1.9893597872e+00,1.0614756356e+00,1.0614584486e+00,1.0614594974e+00
-1.9892797856e+00,1.0614828177e+00,1.0614656306e+00,1.0614666795e+00
-1.9891997840e+00,1.0614900009e+00,1.0614728135e+00,1.0614738626e+00
-1.9891197824e+00,1.0614971850e+00,1.0614799975e+00,1.0614810467e+00
-1.9890397808e+00,1.0615043702e+00,1.0614871825e+00,1.0614882318e+00
-1.9889597792e+00,1.0615115563e+00,1.0614943684e+00,1.0614954179e+00
-1.9888797776e+00,1.0615187435e+00,1.0615015554e+00,1.0615026051e+00
-1.9887997760e+00,1.0615259317e+00,1.0615087434e+00,1.0615097932e+00
-1.9887197744e+00,1.0615331209e+00,1.0615159324e+00,1.0615169823e+00
-1.9886397728e+00,1.0615403111e+00,1.0615231224e+00,1.0615241725e+00
-1.9885597712e+00,1.0615475023e+00,1.0615303134e+00,1.0615313637e+00
-1.9884797696e+00,1.0615546946e+00,1.0615375055e+00,1.0615385558e+00
-1.9883997680e+00,1.0615618878e+00,1.0615446985e+00,1.0615457490e+00
-1.9883197664e+00,1.0615690820e+00,1.0615518926e+00,1.0615529432e+00
-1.9882397648e+00,1.0615762773e+00,1.0615590876e+00,1.0615601384e+00
-1.9881597632e+00,1.0615834735e+00,1.0615662837e+00,1.0615673346e+00
-1.9880797616e+00,1.0615906708e+00,1.0615734808e+00,1.0615745319e+00
-1.9879997600e+00,1.0615978691e+00,1.0615806789e+00,1.0615817301e+00
-1.9879197584e+00,1.0616050684e+00,1.0615878780e+00,1.0615889294e+00
-1.9878397568e+00,1.0616122687e+00,1.0615950781e+00,1.0615961296e+00
-1.9877597552e+00,1.0616194700e+00,1.0616022792e+00,1.0616033309e+00
-1.9876797536e+00,1.0616266723e+00,1.0616094813e+00,1.0616105332e+00
-1.9875997520e+00,1.0616338757e+00,1.0616166845e+00,1.0616177364e+00
-1.9875197504e+00,1.0616410800e+00,1.0616238886e+00,1.0616249407e+00
-1.9874397488e+00,1.0616482854e+00,1.0616310938e+00,1.0616321461e+00
-1.9873597472e+00,1.0616554917e+00,1.0616383000e+00,1.0616393524e+00
-1.9872797456e+00,1.0616626991e+00,1.0616455071e+00,1.0616465597e+00
-1.9871997440e+00,1.0616699075e+00,1.0616527153e+00,1.0616537681e+00
-1.9871197424e+00,1.0616771169e+00,1.0616599246e+00,1.0616609774e+00
-1.9870397408e+00,1.0616843273e+00,1.0616671348e+00,1.0616681878e+00
-1.9869597392e+00,1.0616915388e+00,1.0616743460e+00,1.0616753992e+00
-1.9868797376e+00,1.0616987512e+00,1.0616815583e+00,1.0616826116e+00
-1.9867997360e+00,1.0617059647e+00,1.0616887715e+00,1.0616898250e+00
-1.9867197344e+00,1.0617131791e+00,1.0616959858e+00,1.0616970394e+00
-1.9866397328e+00,1.0617203946e+00,1.0617032011e+00,1.0617042548e+00
-1.9865597312e+00,1.0617276111e+00,1.0617104174e+00,1.0617114713e+00
-1.9864797296e+00,1.0617348286e+00,1.0617176347e+00,1.0617186887e+00
-1.9863997280e+00,1.0617420471e+00,1.0617248530e+00,1.0617259072e+00
-1.9863197264e+00,1.0617492667e+00,1.0617320724e+00,1.0617331267e+00
-1.9862397248e+00,1.0617564872e+00,1.0617392927e+00,1.0617403472e+00
-1.9861597232e+00,1.0617637088e+00,1.0617465141e+00,1.0617475687e+00
-1.9860797216e+00,1.0617709314e+00,1.0617537365e+00,1.0617547912e+00
-1.9859997200e+00,1.0617781550e+00,1.0617609599e+00,1.0617620148e+00
-1.9859197184e+00,1.0617853796e+00,1.0617681843e+00,1.0617692393e+00
-1.9858397168e+00,1.0617926052e+00,1.0617754097e+00,1.0617764649e+00
-1.9857597152e+00,1.0617998318e+00,1.0617826362e+00,1.0617836915e+00
-1.9856797136e+00,1.0618070595e+00,1.0617898636e+00,1.0617909191e+00
-1.9855997120e+00,1.0618142881e+00,1.0617970921e+00,1.0617981477e+00
-1.9855197104e+00,1.0618215178e+00,1.0618043216e+00,1.0618053774e+00
-1.9854397088e+00,1.0618287485e+00,1.0618115521e+00,1.0618126080e+00
-1.9853597072e+00,1.0618359802e+00,1.0618187836e+00,1.0618198397e+00
-1.9852797056e+00,1.0618432130e+00,1.0618260161e+00,1.0618270724e+00
-1.9851997040e+00,1.0618504467e+00,1.0618332497e+00,1.0618343061e+00
-1.9851197024e+00,1.0618576815e+00,1.0618404842e+00,1.0618415408e+00
-1.9850397008e+00,1.0618649172e+00,1.0618477198e+00,1.0618487765e+00
-1.9849596992e+00,1.0618721540e+00,1.0618549564e+00,1.0618560132e+00
-1.9848796976e+00,1.0618793919e+00,1.0618621940e+00,1.0618632510e+00
-1.9847996960e+00,1.0618866307e+00,1.0618694327e+00,1.0618704898e+00
-1.9847196944e+00,1.0618938705e+00,1.0618766723e+00,1.0618777296e+00
-1.9846396928e+00,1.0619011114e+00,1.0618839130e+00,1.0618849704e+00
-1.9845596912e+00,1.0619083533e+00,1.0618911547e+00,1.0618922122e+00
-1.9844796896e+00,1.0619155962e+00,1.0618983974e+00,1.0618994551e+00
-1.9843996880e+00,1.0619228401e+00,1.0619056411e+00,1.0619066989e+00
-1.9843196864e+00,1.0619300850e+00,1.0619128858e+00,1.0619139438e+00
-1.9842396848e+00,1.0619373310e+00,1.0619201316e+00,1.0619211897e+00
-1.9841596832e+00,1.0619445779e+00,1.0619273784e+00,1.0619284367e+00
-1.9840796816e+00,1.0619518259e+00,1.0619346261e+00,1.0619356846e+00
-1.9839996800e+00,1.0619590749e+00,1.0619418750e+00,1.0619429336e+00
-1.9839196784e+00,1.0619663249e+00,1.0619491248e+00,1.0619501835e+00
-1.9838396768e+00,1.0619735760e+00,1.0619563756e+00,1.0619574345e+00
-1.9837596752e+00,1.0619808280e+00,1.0619636275e+00,1.0619646865e+00
-1.9836796736e+00,1.0619880811e+00,1.0619708804e+00,1.0619719396e+00
-1.9835996720e+00,1.0619953352e+00,1.0619781343e+00,1.0619791936e+00
-1.9835196704e+00,1.0620025903e+00,1.0619853892e+00,1.0619864487e+00
-1.9834396688e+00,1.0620098465e+00,1.0619926452e+00,1.0619937048e+00
